Date,Price
1/7/2020 0:00,7759.24
1/8/2020 0:00,8165.47
1/9/2020 0:00,8042.65
1/10/2020 0:00,7817.92
1/11/2020 0:00,8184.66
1/12/2020 0:00,8021.49
1/13/2020 0:00,8173.97
1/14/2020 0:00,8105.24
1/15/2020 0:00,8842.42
1/16/2020 0:00,8813.89
1/17/2020 0:00,8722.03
1/18/2020 0:00,8900.34
1/19/2020 0:00,8910.85
1/20/2020 0:00,8703.36
1/21/2020 0:00,8626.47
1/22/2020 0:00,8722.26
1/23/2020 0:00,8658.94
1/24/2020 0:00,8388.11
1/25/2020 0:00,8428.17
1/26/2020 0:00,8327.36
1/27/2020 0:00,8588.42
1/28/2020 0:00,8895.78
1/29/2020 0:00,9385.69
1/30/2020 0:00,9279.81
1/31/2020 0:00,9502.37
2/1/2020 0:00,9333.77
2/2/2020 0:00,9378.09
2/3/2020 0:00,9314.56
2/4/2020 0:00,9284.51
2/5/2020 0:00,9162.14
2/6/2020 0:00,9614.9
2/7/2020 0:00,9755.66
2/8/2020 0:00,9807.54
2/9/2020 0:00,9907.12
2/10/2020 0:00,10162.41
2/11/2020 0:00,9854.79
2/12/2020 0:00,10275.38
2/13/2020 0:00,10354.3
2/14/2020 0:00,10242.43
2/15/2020 0:00,10368.53
2/16/2020 0:00,9904.17
2/17/2020 0:00,9937.67
2/18/2020 0:00,9703.93
2/19/2020 0:00,10180.65
2/20/2020 0:00,9604.72
2/21/2020 0:00,9606.86
2/22/2020 0:00,9696.58
